GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog.new Runnable() {...},21,0,0,0,5,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,SyntaxHighlighter,52,0,0,0,15,0,4,0,4,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,HelpDialog.new Runnable() {...},21,0,0,0,5,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow,546,0,4,0,135,0,13,0,11,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog,353,0,4,0,90,0,8,0,6,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,HelpDialog.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,Core,804,0,40,0,203,0,45,0,25,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,FindAndReplaceDialog.4.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,Core.new FileFilter() {...},17,0,4,0,3,0,5,0,3,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,Core.new CaretListener() {...},10,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,Core.ParseRunner,259,0,4,0,78,0,11,0,9,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,HelpDialog.2.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,DisplayableTreeNode,105,0,8,0,22,0,15,0,11,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,HelpDialog,283,0,4,0,77,0,6,0,4,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,DisplayableTreeNode.ChildrenEnumeration,14,0,0,0,5,0,3,0,3,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new WindowListener() {...},14,0,0,0,9,0,8,0,8,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,SyntaxHighlighter.new Runnable() {...},103,0,4,0,21,0,5,0,3,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,MainWindow.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui,Tokens,27,0,0,0,5,0,1,0,1,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,CharacterClassRange,0,29,0,6,0,6,0,5,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleSequence,0,57,0,4,0,10,0,4,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleCharacter,0,50,0,4,0,10,0,4,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleSequenceDLR,0,41,0,0,0,9,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,ParserOutput,0,156,0,16,0,46,0,18,0,10
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleString,0,26,0,0,0,6,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,IteratorDFS,0,51,1,5,0,12,1,6,0,4
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleSequenceDLR,0,104,0,6,0,27,0,6,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,IteratorBFS,0,59,1,5,0,10,1,6,0,4
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleSequence,0,32,0,0,0,7,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,CharacterClassExclusion,0,27,0,4,0,7,0,4,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,ParsingFailedException,0,12,0,0,0,5,0,2,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,TraceElement,0,25,0,0,0,10,0,4,0,4
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleChoice,0,32,0,0,0,7,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,State,0,81,0,2,0,18,0,7,0,6
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Parser,0,58,0,2,0,15,0,5,0,4
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,TreeNode,0,157,0,12,0,46,0,18,0,12
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleAnd,0,45,0,2,0,9,0,3,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleAnd,0,27,0,0,0,6,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Tracer,4,136,1,11,0,22,1,8,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleNot,0,27,0,0,0,6,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleCharacter,0,28,0,0,0,6,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleNot,0,41,0,2,0,9,0,3,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,CharacterClassNegation,0,17,0,2,0,5,0,3,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleChoice,0,63,0,6,0,11,0,5,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleEnd,0,38,0,2,0,8,0,3,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Rule,0,17,0,0,0,7,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,AbstractTreeNode.new Iterable() {...},0,12,0,0,0,2,0,2,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,AbstractTreeNode.new Iterable() {...},0,12,0,0,0,2,0,2,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,CharacterClassCombination,0,32,0,4,0,7,0,4,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,LinesAndColumns,0,167,2,22,0,36,2,16,0,5
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,AbstractTreeNode.new Iterable() {...},0,12,0,0,0,2,0,2,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,AbstractTreeNode,0,137,0,10,0,30,0,16,0,11
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleRepetition,0,98,0,12,0,21,0,8,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,TraceElementReason,0,21,0,0,0,4,0,1,0,1
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder.DesignRuleRepetition,0,35,0,0,0,8,0,3,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,IteratorLeavesFirst,0,55,0,4,0,11,0,7,0,5
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,GrammarBuilder,0,594,0,28,0,120,0,39,0,25
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,RuleString,0,61,0,6,0,9,0,5,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Utils,0,31,0,4,0,6,0,5,0,3
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Trace,0,95,0,2,0,28,0,5,0,4
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,Grammar,0,18,0,0,0,7,0,2,0,2
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake,NewlineStyles,0,111,0,10,0,26,0,11,0,6
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui.tabs,EditorPanel,158,0,0,0,38,0,3,0,3,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui.tabs,ConcreteSyntaxTreePanel,160,0,2,0,41,0,6,0,5,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui.tabs,EditorPanel.SelectAllAction,11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.gui.tabs,ConcreteSyntaxTreePanel.new TreeSelectionListener() {...},11,0,0,0,3,0,2,0,2,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.parsergen,GrammarParser,0,2607,0,0,0,185,0,5,0,5
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.parsergen,GrammarVisitor,51,1462,4,84,14,279,7,78,3,38
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.parsergen,CodeGeneratorForJava,99,1443,9,41,24,295,12,49,5,31
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.parsergen,ParserGenerator,134,0,10,0,40,0,12,0,7,0
com.mackenziehigh:snowflake,com.mackenziehigh.snowflake.designer.io,StringFile,130,0,6,0,36,0,10,0,7,0
